date,price
2011-04-01,299.50
2011-04-06,299.50
2011-04-07,300.00
2011-04-08,300.00
2011-04-11,300.00
2011-04-12,300.00
2011-04-13,300.00
2011-04-14,300.00
2011-04-15,300.00
2011-04-18,308.01
2011-04-19,308.01
2011-04-20,311.00
2011-04-21,311.00
2011-04-22,311.00
2011-04-25,319.31
2011-04-26,323.90
2011-04-27,314.78
2011-04-28,320.00
2011-04-29,325.00
2011-05-03,321.00
2011-05-04,321.00
2011-05-05,321.00
2011-05-06,321.00
2011-05-09,321.00
2011-05-10,321.00
2011-05-11,321.00
2011-05-12,321.00
2011-05-13,321.00
2011-05-16,321.00
2011-05-17,314.90
2011-05-18,313.32
2011-05-19,314.69
2011-05-20,314.90
2011-05-23,315.91
2011-05-24,318.00
2011-05-25,319.30
2011-05-26,319.96
2011-05-27,319.15
2011-05-30,320.00
2011-05-31,324.00
2011-06-01,318.00
2011-06-02,326.00
2011-06-03,323.90
2011-06-07,320.00
2011-06-08,319.00
2011-06-09,318.00
2011-06-10,319.50
2011-06-13,317.80
2011-06-14,315.10
2011-06-15,318.02
2011-06-16,315.28
2011-06-17,315.90
2011-06-20,315.90
2011-06-21,315.90
2011-06-22,315.90
2011-06-23,319.00
2011-06-24,318.52
2011-06-27,312.99
2011-06-28,319.50
2011-06-29,317.30
2011-06-30,319.00
2011-07-01,315.00
2011-07-04,315.00
2011-07-05,315.00
2011-07-06,315.00
2011-07-07,315.00
2011-07-08,315.00
2011-07-11,315.00
2011-07-12,315.00
2011-07-13,315.00
2011-07-14,315.00
2011-07-15,315.00
2011-07-18,335.00
2011-07-19,337.00
2011-07-20,335.99
2011-07-21,335.99
2011-07-22,335.99
2011-07-25,335.99
2011-07-26,335.99
2011-07-27,333.11
2011-07-28,341.99
2011-07-29,346.60
2011-08-01,335.00
2011-08-02,318.33
2011-08-03,334.24
2011-08-04,334.24
2011-08-05,340.00
2011-08-08,340.00
2011-08-09,340.00
2011-08-10,340.00
2011-08-11,340.00
2011-08-12,340.00
2011-08-15,340.00
2011-08-16,363.00
2011-08-17,368.50
2011-08-18,371.99
2011-08-19,382.66
2011-08-22,382.66
2011-08-23,391.03
2011-08-24,381.79
2011-08-25,367.58
2011-08-26,370.00
2011-08-29,376.02
2011-08-30,371.16
2011-08-31,379.50
2011-09-01,379.48
2011-09-02,379.48
2011-09-05,379.48
2011-09-06,379.48
2011-09-07,379.48
